PATTI GOULD - GUEST BATHROOM REMODEL,636 Ambrose Lane
Project Budget & Cost Breakdown,,

LABOR & SERVICES,Cost,Notes
Demo (vanity, tub, fixtures, flooring, tile),$800,Full removal & disposal
Hot Mop (shower pan waterproofing),$400,Critical for mold prevention
Tile Installation - Bathroom Floor (21 sq ft @ $35/sq ft),$735,Professional installation
Tile Installation - Shower Walls (90 sq ft),$2000,High-quality labor
Bathtub Installation & Set,$560,Leveled, secured, sealed
Double Sink Vanity Installation,$1680,Wall-mounted built-in
Vanity Countertop Installation,$1120,Sealing & finish
Glass Shower Enclosure (frameless),$1820,Custom fit installation
Plumbing (rough-in + finish),$1260,Dual sinks + tub/shower diverter
Electrical (lighting, GFCI, vent fan),$280,Code-compliant
Drywall / Backer Board / Substrate Prep,$560,Surface preparation
Subtotal - Labor & Services,$10815,

MATERIAL ALLOWANCES,Cost,Notes
Tile - Bathroom Floor Material,$600,18-24 sq ft / ceramic or porcelain
Tile - Shower Wall Material,$700,80-100 sq ft spray zone
Sink Faucet (Dual),$250,Mid-range quality
Shower Valve & Trim Kit,$150,Standard valve body
Project Management & Contingency,$1485,Coordination & unforeseen items
Subtotal - Material Allowances,$3185,

,
TOTAL PROJECT INVESTMENT,$14000,All labor, materials, project management included

NOT INCLUDED:,Cost,
City Permits & Inspection Fees,"$100-$300",Paid directly to city
Material Upgrades Beyond Allowances,Varies,Any premium selections
Structural Modifications,Varies,Wall relocation if needed
Change Orders,Varies,Work discovered during demo

TIMELINE,Duration,
Pre-Construction (permits + material selection),1 week,
Demolition & Prep,3-4 days,
Plumbing & Electrical (rough-in),4-5 days,
Flooring & Tile Work,5-7 days,
Fixtures & Hardware Installation,3-4 days,
Final Walk-Through & Cleanup,1 day,
Total Estimated Duration,3-4 weeks,
